candidate,reference,bertscore_P,bertscore_R,bertscore_F1,moverscore,sms
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso di **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7461029887199402,0.8385894894599915,0.7896474003791809,,0.8337195813655853
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
"L’insegnante del corso **Ingegneria del Software** è **Maria Ilaria Lunesu** [1, 2]. Le lezioni si tengono **mercoledì dalle 14:00 alle 16:00** in **Lab M** del Palazzo delle scienze [3].","L'insegnante di Ingegneria del Software è Maria Ilaria Lunesu, le lezioni iniziano dalle 14:00 alle 16:00 di Mercoledì in Lab M al Palazzo delle scienze",0.7527552843093872,0.8805741667747498,0.8116634488105774,,0.8677535653114319
